Ticker,Name,Exchange,Category Name,Country
BHARTIARTL.NS,Bharti Airtel Limited,NSI,Wireless Communications,India
ASHOKLEY.NS,Ashok Leyland Limited,NSI,Auto Manufacturers - Major,India
AUROPHARMA.NS,Aurobindo Pharma Limited,NSI,Drugs - Generic,India
AREXMIS.BO,Arex Industries Ltd.,BSE,,India
SANWARIA.NS,Sanwaria Agro Oils Limited,NSI,Farm Products,India
ALMONDZ.NS,Almondz Global Securities Limited,NSI,Investment Brokerage - National,India
ADINATH.BO,Adinath Textiles Ltd,BSE,,India
SBIN.NS,State Bank of India,NSI,Money Center Banks,India
BPCL.NS,Bharat Petroleum Corporation Limited,NSI,Oil & Gas Refining & Marketing,India
MBECL.NS,McNally Bharat Engineering Company Limited,NSI,General Contractors,India
MAHABANK.NS,Bank of Maharashtra,NSI,Money Center Banks,India
DBCORP.BO,D. B. Corp Limited,BSE,,India
BOSCHLTD.NS,Bosch Limited,NSI,Auto Parts,India
BHEL.BO,Bharat Heavy Electricals Ltd.,BSE,,India
IDBI.NS,IDBI Bank Limited,NSI,Money Center Banks,India
IRB.BO,IRB Infrastructure Developers Limited,BSE,,India
DABUR.NS,Dabur India Limited,NSI,Personal Products,India
TCIDEVELOP.NS,TCI Developers Limited,NSI,Real Estate Development,India
NDTV.BO,New Delhi Television Limited,BSE,,India
ISHITADR.BO,Ishita Drugs & Industries Ltd,BSE,,India
GDL.BO,Gateway Distriparks Limited,BSE,,India
DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSI,Drugs - Generic,India
DPSCLTD.NS,India Power Corporation Limited,NSI,Electric Utilities,India
DLF.BO,DLF Limited,BSE,,India
DEEPAKSP.BO,Deepak Spinners Limited,BSE,,India
DANLAW.BO,Danlaw Technologies India Limited,BSE,,India
VIPULDYE.BO,Vipul Dye Chem Ltd.,BSE,,India
VADIDAI.BO,Vadilal Dairy International Ltd.,BSE,,India
TRIMURTHI.BO,Trimurthi Limited,BSE,,India
THAKDEV.BO,Thakkers Developers Ltd,BSE,,India
TATAMTRDVR.BO,TATA MOTORS LTD - DVR,BSE,,India
SUPDF.BO,SUPERSTAR DISTILLERIES & FOODS,BSE,,India
SHRIDINE.BO,Shri Dinesh Mills Limited,BSE,,India
RADHEDE.BO,Radhe Developers (India) Ltd.,BSE,,India
PROTODEV.BO,Proto Developers & Technologies Limited,BSE,,India
PRABHAT.NS,Prabhat Dairy Limited,NSI,Food - Major Diversified,India
NDMETAL.BO,ND Metal Industries Ltd,BSE,,India
MDRNSUT-B.BO,MODERN DENIM LTD.,BSE,,India
MANGALAM.BO,Mangalam Drugs & Organics Limited,BSE,,India
MAHLIFE.NS,Mahindra Lifespace Developers Limited,NSI,Real Estate Development,India
LPDC.NS,Landmark Property Development Company Limited,NSI,Real Estate Development,India
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited,NSI,General Contractors,India
IRB.NS,IRB Infrastructure Developers Limited,NSI,Heavy Construction,India
INTERDIGI.BO,Interworld Digital Ltd.,BSE,,India
INDTONER.BO,Indian Toners & Developers Ltd.,BSE,,India
INDLEASE.BO,India Lease Development Limited,BSE,,India
HDIL.NS,Housing Development and Infrastructure Limited,NSI,Real Estate Development,India
HDIL.BO,Housing Development & Infrastructure Limited,BSE,,India
HDFC.NS,Housing Development Finance Corporation Limited,NSI,Mortgage Investment,India
HDFC.BO,Housing Development Finance Corporation Limited,BSE,,India
GOLKUNDIA.BO,Golkunda Diamonds & Jewellery Limited,BSE,,India
GOENKA.NS,Goenka Diamond and Jewels Limited,NSI,Jewelry Stores,India
ESSDEE.BO,Ess Dee Aluminium Limited,BSE,,India
ENERGYDEV.NS,Energy Development Company Limited,NSI,Electric Utilities,India
EIDPARRY.BO,E.I.D.- Parry (India) Limited,BSE,,India
KELENRG.BO,Keltech Energies Limited,BSE,,India
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,NSI,Diversified Machinery,India
EASTSILK.BO,Eastern Silk Industries Ltd.,BSE,,India
TATAELXSI.NS,Tata Elxsi Limited,NSI,Technical & System Software,India
SWARAJENG.NS,Swaraj Engines Limited,NSI,Auto Parts,India
STEERINTER.BO,Sterling International Enterprises Ltd.,BSE,,India
SEQUELE.BO,Sequel e-Routers Ltd.,BSE,,India
RECLTD.NS,Rural Electrification Corporation Limited,NSI,Credit Services,India
PEL.NS,Piramal Enterprises Limited,NSI,Drug Manufacturers - Major,India
MKEXIM.BO,M.K. Exim (India) Limited,BSE,,India
JAYTEX.BO,Jaybharat Textiles And Real Estate Limited,BSE,,India
IBREALEST.BO,Indiabulls Real Estate Limited,BSE,,India
EVERONN.NS,Everonn Education Limited,NSI,,India
ESSELPACK.NS,Essel Propack Limited,NSI,,India
ENTEGRA.NS,Entegra Limited,NSI,,India
EMMESSA.BO,Emmessar Biotech & Nutrition Limited,BSE,,India
ECOM.BO,E.com Infotech India Ltd.,BSE,,India
BEL.BO,Bharat Electronics Limited,BSE,,India
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,NSI,Shipping,India
ZICOM.BO,Zicom Electronic Security Systems Limited,BSE,,India
ZANUKCOM.BO,Anukaran Commercial Enterprises Ltd.,BSE,,India
OFSS.NS,Oracle Financial Services Software Limited,NSI,Business Software & Services,India
LICHSGFIN.NS,LIC Housing Finance Limited,NSI,Mortgage Investment,India
FORTUNEF.BO,Fortune Financial Services (India) Limited,BSE,,India
SUNDRMFAST.BO,Sundram Fasteners Limited,BSE,,India
SUNDARMFIN.BO,Sundaram Finance Limited,BSE,,India
SITASHREE.NS,Sita Shree Food Products Limited,NSI,Farm Products,India
RELAXO.BO,Relaxo Footwears Limited,BSE,,India
RCF.BO,Rashtriya Chemicals And Fertilizers Limited,BSE,,India
PFS.NS,PTC India Financial Services Limited,NSI,Mortgage Investment,India
PFC.NS,Power Finance Corporation Limited,NSI,Credit Services,India
NIKKIGL.BO,Nikki Global Finance Limited,BSE,,India
MUTHOOTFIN.NS,Muthoot Finance Limited,NSI,Credit Services,India
MAX.NS,Max Financial Services Limited,NSI,,India
MAGMA.NS,Magma Fincorp Limited,NSI,Credit Services,India
KZLFIN.BO,KZ Leasing & Finance Ltd.,BSE,,India
IFSL.BO,Integrated Financial Services Limited,BSE,,India
HNDFDS.BO,Hindustan Foods Limited,BSE,,India
HILTON.BO,Hilton Metal Forging Limitied,BSE,,India
GOWRALE.BO,Gowra Leasing & Finance Ltd.,BSE,,India
GEEFC.BO,Geefcee Finance Limited,BSE,,India
FORCEMOT.BO,Force Motors Ltd.,BSE,,India
FOODSIN.BO,Foods & Inns Ltd.,BSE,,India
FILME.BO,Filmcity Media Ltd.,BSE,,India
FFPL.BO,Foundry Fuel Products Ltd.,BSE,,India
FACT.NS,The Fertilisers And Chemicals Travancore Limited,NSI,Agricultural Chemicals,India
ARORAFIB.BO,Arora Fibres,BSE,,India
AJWAFUN.BO,Ajwa Fun World & Resort Ltd,BSE,,India
ADMANUM.BO,Ad-Manum Finance Ltd,BSE,,India
ZSUBWAYF.BO,"Subway Finance & Investment Co., Ltd.",BSE,,India
ZSIYARPO.BO,SIYARAM PODDAR FINANCE & TRADI,BSE,,India
ZSHERAPR.BO,SHERATON PROPERTIES & FINANCE,BSE,,India
ZSAMPKTR.BO,SAMPARK TRADING & FINANCE LTD.,BSE,,India
ZNIVEMER.BO,Nivedita Mercantile & Financing Ltd.,BSE,,India
WSFIN.BO,Wall Street Finance Ltd.,BSE,,India
WEIZFOREX.NS,Weizmann Forex Limited,NSI,Investment Brokerage - National,India
WEIZFOREX.BO,WEIZMANN FOREX LTD.,BSE,,India
WALLFORT.BO,Wallfort Financial Services Limited,BSE,,India
VOITHPAPR.BO,Voith Paper Fabrics India Limited,BSE,,India
VBCFERROQ.BO,VBC Ferro Alloys Limited,BSE,,India
VAXHS.BO,Vax Housing Finance Corporation Ltd.,BSE,,India
UPASAFN.BO,Upasana Finance Ltd,BSE,,India
TIRFOAM.BO,Tirupati Foam Limited,BSE,,India
GSPL.NS,Gujarat State Petronet Limited,NSI,Gas Utilities,India
GAYAPROJ.BO,Gayatri Projects Limited,BSE,,India
GAIL.NS,GAIL (India) Limited,NSI,Gas Utilities,India
TAJGVK.BO,TAJGVK Hotels & Resorts Limited,BSE,,India
POWERGRID.NS,Power Grid Corporation of India Limited,NSI,Electric Utilities,India
ONGC.BO,Oil and Natural Gas Corp. Ltd.,BSE,,India
VHL.NS,Vardhman Holdings Limited,NSI,Credit Services,India
HINDUNILVR.NS,Hindustan Unilever Limited,NSI,Personal Products,India
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,NSI,,India
HCC.NS,Hindustan Construction Company Limited,NSI,General Contractors,India
PAPERPROD.BO,Huhtamaki PPL Limited,BSE,,India
ITHL.BO,International Travel House Limited,BSE,,India
HIRECT.NS,Hind Rectifiers Limited,NSI,Diversified Electronics,India
HESTERBIO.BO,Hester Biosciences Ltd,BSE,,India
HCC.BO,Hindustan Construction Company Limited,BSE,,India
GUJHOTE.BO,Gujarat Hotels Ltd.,BSE,,India
GRAVISSHO.BO,Graviss Hospitality Limited,BSE,,India
BENARAS.BO,Benares Hotels Limited,BSE,,India
ZENITHHE.BO,Zenith Healthcare Ltd,BSE,,India
WONDERLA.BO,WONDERLA HOLIDAYS LTD,BSE,,India
WHBRADY.BO,WH Brady & Company Limited,BSE,,India
THEBYKE.BO,THE BYKE HOSPITALITY LTD.,BSE,,India
SYNCOM.NS,Syncom Healthcare Limited,NSI,Drugs - Generic,India
SUNILHITEC.BO,Sunil Hitech Engineers Ltd.,BSE,,India
STERLINH6.BO,STERLINH6.BO,BSE,,India
STERLINH.BO,Sterling Holiday Resorts (India) Limited,BSE,,India
SHHARICH.BO,Shree Hari Chemicals Export Limited,BSE,,India
SGJHL.BO,Shree Ganesh Jewellery House (I) Limited,BSE,,India
ROHLTD.NS,Royal Orchid Hotels Limited,NSI,Lodging,India
ROHLTD.BO,Royal Orchid Hotels Limited,BSE,,India
JUBLINDS.NS,Jubilant Industries Limited,NSI,Rubber & Plastics,India
JKIL.BO,J.Kumar Infraprojects Limited,BSE,,India
JVLAGRO.BO,JVL Agro Industries Ltd,BSE,,India
JISLJALEQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
JAIBALAJI.BO,Jai Balaji Industries Ltd.,BSE,,India
ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited,NSI,Jewelry Stores,India
SBBJ.NS,State Bank of Bikaner & Jaipur,NSI,,India
SBBJ.BO,State Bank of Bikaner & Jaipur,BSE,,India
PCJEWELLER-EQ.NS,PC JEWELLER LIMITE INR10,NSI,,India
JYOTI.BO,Jyoti Ltd.,BSE,,India
JYOTHYLAB.NS,Jyothy Laboratories Limited,NSI,Personal Products,India
JUBLFOOD.NS,Jubilant FoodWorks Limited,NSI,Restaurants,India
JUBLFOOD.BO,Jubilant FoodWorks Limited,BSE,,India
JUBILANT.NS,Jubilant Life Sciences Limited,NSI,Drug Manufacturers - Major,India
JSWSTEEL.NS,JSW Steel Limited,NSI,,India
JSWSTEEL.BO,JSW STEEL LTD.,BSE,,India
JSWENERGY.BO,JSW Energy Limited,BSE,,India
JPTSEC.BO,JPT Securities Ltd.,BSE,,India
JPPOWER.NS,Jaiprakash Power Ventures Limited,NSI,Diversified Utilities,India
JPPOWER.BO,Jaiprakash Power Ventures Limited,BSE,,India
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,NSI,Asset Management,India
JPINFRATEC.BO,Jaypee Infratech Limited,BSE,,India
JKTYRE.NS,JK Tyre & Industries Limited,NSI,,India
JKPAPER.NS,JK Paper Limited,NSI,Paper & Paper Products,India
JISLDVREQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
JINDCOT.NS,Jindal Cotex Limited,NSI,Textile Industrial,India
JINDALSAW.NS,Jindal Saw Limited,NSI,Steel & Iron,India
JETKINGQ.BO,Jetking Infotrain Limited,BSE,,India
JETAIRWAYS.BO,Jet Airways (India) Ltd.,BSE,,India
JCTLTD.BO,JCT Ltd.,BSE,,India
JBFIND.NS,JBF Industries Limited,NSI,Textile Industrial,India
JAMESWARREN.BO,JAMES WARREN TEA LTD,BSE,,India
JAIHINDPRO.NS,Jaihind Projects Limited,NSI,General Contractors,India
JAGSONFI.BO,Jagsonpal Finance & Leasing Ltd,BSE,,India
JAGRAN.NS,Jagran Prakashan Limited,NSI,Publishing - Newspapers,India
JMFINANCIL-EQ.NS,JM FINANCIAL INR1,NSI,,India
DIVYAJYQ.BO,Divya Jyoti Industries Ltd,BSE,,India
BJDUP.BO,B.J.DUPLEX BOARDS LTD.,BSE,,India
JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5,NSI,,India
JAMNAAUTO.NS,Jamna Auto Industries Limited,NSI,Auto Parts,India
JAICORPLTD.NS,Jai Corp Limited,NSI,Rubber & Plastics,India
JAIMI.BO,JAI MATA INDUSTRIES LTD.,BSE,,India
JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSI,Auto Parts,India
JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2,NSI,,India
JYOTIRES.BO,Jyoti Resins & Adhesives Ltd.,BSE,,India
JUPITERIN.BO,JUPITER INFOMEDIA LTD.,BSE,,India
JENSONICOL.BO,JENSON & NICHOLSON (INDIA) LTD,BSE,,India
JKLAKBBPH.BO,JKLAKSHMI*,BSE,,India
JUSTDIAL.NS,Just Dial Limited,NSI,,India
JARITEX.BO,Kintech Renewables Limited,BSE,,India
JAYENGY.BO,JAY ENERGY AND S.ENERGIES LTD.,BSE,,India
JKIL.NS,J. Kumar Infraprojects Limited,NSI,General Contractors,India
JAYATMA.BO,Jayatma Spinners Limited,BSE,,India
JAYAMEL.BO,Jayant Mercantile Co. Ltd.,BSE,,India
RJBIOTECH.BO,R J BIO-TECH LTD,BSE,,India
JINDWORLD.BO,JINDAL WORLDWIDE LTD.,BSE,,India
J&KBANK.NS,The Jammu and Kashmir Bank Limited,NSI,Money Center Banks,India
JINDALSTEL.BO,JINDAL STEEL & POWER LTD.,BSE,,India
JINDALPOLY.BO,JINDAL POLY FILMS LTD.,BSE,,India
JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.,BSE,,India
JINDONL.BO,Kashyap Tele-Medicines Limited,BSE,,India
JAGPRO.BO,VERONICA PRODUCTION LTD,BSE,,India
JUSTDIAL-EQ.NS,JUST DIAL LTD INR10,NSI,,India
JISLDVREQS.BO,JAIN IRRIGATION SYSTEMS LTD.,BSE,,India
JPASSOCIAT6.BO,JPASSOCIAT6.BO,BSE,,India
JSTL.BO,Jeevan Scientific Technology L,BSE,,India
JKAGRI.BO,Florence Investech Limited,BSE,,India
J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE,NSI,,India
JAMEHOT.BO,James Hotels Ltd,BSE,,India
JETINFRA.BO,Jet Infraventure Limited,BSE,,India
JINDALSAW.BO,JINDAL SAW LTD.,BSE,,India
JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED,NSI,,India
JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1,NSI,,India
JENBURPH.BO,Jenburkt Pharmaceuticals Ltd.,BSE,,India
CJGEL.BO,C.J. Gelatine Products Ltd.,BSE,,India
JCTEL-EQ.NS,JCT ELECTRONICS INR1.00,NSI,,India
JLMORI.BO,J. L. Morison (India) Limited,BSE,,India
PCJEWELLER.NS,PC Jeweller Limited,NSI,Jewelry Stores,India
JATTAINDUS.BO,JATTASHANKAR INDUSTIES LTD.,BSE,,India
JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10,NSI,,India
JAYKAY.BO,JAYKAY ENTERPRISES LTD.,BSE,,India
JSL.BO,Jindal Stainless Limited,BSE,,India
JAYSYN.BO,Jaysynth Dyestuff India Ltd.,BSE,,India
JMCPROJECT.BO,JMC PROJECTS (INDIA) LTD.,BSE,,India
JTLINFRA.BO,JTL INFRA LTD.,BSE,,India
NARBADA.BO,Narbada Gems And Jewellery Ltd,BSE,,India
TARAJEWELS.NS,Tara Jewels Limited,NSI,Jewelry Stores,India
JAYUSH.BO,Jay Ushin Limited,BSE,,India
JSWENERGY.NS,JSW Energy Limited,NSI,Diversified Utilities,India
JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10,NSI,,India
JUMBO.BO,JUMBO BAG LTD.,BSE,,India
SAIJEEV.BO,SAI JEEVADHARA FINANCE LIMITED,BSE,,India
JUMBFNL.BO,JUMBO FINANCE LTD.,BSE,,India
JBFIND.BO,JBF Industries Limited,BSE,,India
JKCEMENT.NS,J.K. Cement Limited,NSI,General Building Materials,India
JUMBO-BZ.NS,JUMBO-BZ.NS,NSI,,India
JKPAPER-EQ.NS,JK PAPER LIMITED,NSI,,India
JINDHOT.BO,Jindal Hotels Ltd,BSE,,India
JSL6.BO,JSL6.BO,BSE,,India
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSI,,India
JAGSONAI.BO,Jagson Airlines Ltd.,BSE,,India
JINDCOT-EQ.NS,JINDAL COTEX LIMITED,NSI,,India
JAICORPLTD6.BO,JAICORPLTD6.BO,BSE,,India
AJBRO.BO,A.J.BROTHERS LTD.,BSE,,India
JIKIND.BO,JIK INDUSTRIES LTD.,BSE,,India
LYPSAGEMS.BO,LYPSA GEMS & JEWELLERY LTD,BSE,,India
JOSTS.BO,Josts Engineering Company Ltd,BSE,,India
JINDALPHOT.NS,Jindal Photo Limited,NSI,"Recreational Goods, Other",India
JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED,NSI,,India
JAIHINDS.BO,Jaihind Synthetics Limited,BSE,,India
AJIL.BO,ATLAS JEWELLERY INDIA LIMITED,BSE,,India
JKTYRE.BO,JK TYRE & INDUSTRIES LTD.,BSE,,India
JAGSNPHARM.BO,JAGSONPAL PHARMACEUTICALS LTD.,BSE,,India
JMDTELEFILM.BO,JMD Ventures Limited,BSE,,India
JAYBARMARU.BO,JAY BHARAT MARUTI LTD.,BSE,,India
JAGDAMD.BO,JAGDAMD.BO,BSE,,India
JOYREALTY.BO,Joy Realty Ltd,BSE,,India
JMPCAST.BO,JMP CASTINGS LTD.,BSE,,India
JAYAGROGN.NS,Jayant Agro-Organics Limited,NSI,Specialty Chemicals,India
PCJEWELLER.BO,PC JEWELLER LTD.,BSE,,India
JAIBALAJI.NS,Jai Balaji Industries Limited,NSI,Steel & Iron,India
JINDWORLD.NS,Jindal Worldwide Limited,NSI,Textile Industrial,India
JKPAPER.BO,JK PAPER LTD.,BSE,,India
JIKIND-BE.NS,JIK INDUSTRIES INR10,NSI,,India
JMDEPACKR.BO,JMDE PACKAGING & REALTIES LTD.,BSE,,India
JAIMATAG.BO,Jai Mata Glass Ltd.,BSE,,India
JMTAUTOLTD-EQ.NS,JMT AUTO LIMITED,NSI,,India
JSWHL.NS,JSW Holdings Limited,NSI,Asset Management,India
JINDALPHOT.BO,JINDAL PHOTO LTD.,BSE,,India
JKLAKSHMI.BO,JK Lakshmi Cement Limited,BSE,,India
JTAPARIA.BO,J. TAPARIA PROJECTS LTD,BSE,,India
JOLLYRID.BO,JOLLY RIDES LTD.,BSE,,India
JIYAECO.BO,Jiya Eco-Products Limited,BSE,,India
JISLJALEQS6.BO,JISLJALEQS6.BO,BSE,,India
JAIHINDPRO-EQ.NS,JAIHIND PROJECTS LIMITED,NSI,,India
